track_name,popularity_score,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
Snooze,90,2022-12-09,0.559,0.551,-7.231,0.132,0.141,0.0,0.11,0.392
Bad Habit,80,2022-07-15,0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7
"Bzrp Music Sessions, Vol. 53",81,2023-01-11,0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498
Eyes Closed,79,2024-04-03,0.622,0.684,-7.199,0.114,0.0323,0.0014,0.0732,0.512
Fukumean,87,2023-06-16,0.847,0.622,-6.747,0.0903,0.119,0.0,0.285,0.22
Handle On You,69,2023-05-12,0.591,0.928,-3.925,0.0316,0.00441,0.0,0.291,0.619
Peaches & Eggplants,70,2023-04-07,0.698,0.312,-10.9,0.0483,0.797,0.0,0.1,0.419
Wait For U,81,2022-04-29,0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,0.339
Try That In A Small Town,70,2023-11-03,0.457,0.861,-3.771,0.0529,0.0583,1.28e-05,0.106,0.376
Heart Like A Truck,75,2022-11-28,0.587,0.632,-5.416,0.0311,0.148,1.01e-05,0.158,0.392
Under The Influence,84,2019-10-04,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31
You Proof,83,2023-03-03,0.732,0.839,-5.007,0.0345,0.265,0.0,0.602,0.629
Nobody Gets Me,85,2022-12-09,0.358,0.284,-8.285,0.0285,0.805,0.0,0.183,0.276
Lavender Haze,80,2022-10-21,0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976
Escapism,82,2023-02-03,0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25
Golden Hour,81,2022-09-23,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153
Chemical,82,2023-04-14,0.498,0.897,-4.907,0.045,0.00136,0.0,0.118,0.373
"Going, Going, Gone",76,2022-06-24,0.565,0.56,-6.034,0.0275,0.538,0.0,0.0961,0.325
Meltdown,82,2023-07-28,0.557,0.774,-5.275,0.351,0.012,0.0,0.396,0.397
Tennessee Orange,76,2023-05-05,0.38,0.488,-6.637,0.029,0.126,7.23e-06,0.115,0.268
All My Life,75,2023-05-12,0.829,0.436,-8.205,0.327,0.15,0.0,0.0954,0.693
Calm Down,83,2019-08-23,0.771,0.671,-5.617,0.0553,0.00929,0.0,0.0637,0.714
Players,75,2022-11-30,0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504,0.624
Por Las Noches,76,2021-06-11,0.69,0.597,-7.494,0.0395,0.311,4.18e-05,0.0727,0.453
Put It On Da Floor Again,69,2023-06-02,0.849,0.614,-7.323,0.317,0.0282,0.0,0.0603,0.472
Un x100to,81,2023-04-17,0.569,0.724,-4.076,0.0474,0.228,0.0,0.27,0.562
"Boy's A Liar, Pt. 2",11,2023-03-02,0.497,0.887,-4.44,0.444,0.243,0.062,0.46,0.524
What My World Spins Around,76,2023-02-17,0.686,0.733,-6.483,0.0401,0.111,0.0,0.153,0.7
What Was I Made For?,91,2023-07-13,0.444,0.0911,-17.665,0.0307,0.959,1.05e-06,0.098,0.142
Barbie World,79,2023-06-23,0.77,0.58,-8.393,0.247,0.519,0.000127,0.233,0.753
A Holly Jolly Christmas,58,1965-10-01,0.683,0.375,-13.056,0.0303,0.579,0.0,0.076,0.888
Rich Men North Of Richmond,81,2023-08-11,0.678,0.264,-12.384,0.0622,0.753,0.0,0.302,0.528
Flowers,91,2023-08-18,0.706,0.691,-4.775,0.0633,0.0584,6.99e-05,0.0232,0.632
Last Night,84,2023-03-03,0.492,0.675,-5.456,0.0389,0.467,0.0,0.142,0.478
Karma,85,2022-10-21,0.642,0.62,-7.091,0.0666,0.0734,0.0,0.483,0.0969
Princess Diana,80,2024-03-22,0.596,0.507,-5.719,0.227,0.0404,2.67e-06,0.164,0.0988
I Wrote The Book,71,2023-03-03,0.692,0.808,-3.757,0.0396,0.0834,3.75e-05,0.0913,0.802
Where She Goes,80,2023-05-18,0.652,0.8,-4.019,0.0614,0.143,0.629,0.112,0.234
Area Codes,76,2023-03-17,0.823,0.388,-10.867,0.491,0.0187,0.0,0.0876,0.507
Jingle Bell Rock,62,1957-12-02,0.754,0.424,-8.463,0.0363,0.643,0.0,0.0652,0.806
